subject,subj_raw,hand,date,run,ts,src_dir,fname
fgw0917,fgw-0917,right,20260504,3_v71,20260504_180802,fgw0917_0504_right,fgw-0917__20260504-right-3_v71__20260504_180802.npz
fgw0917,fgw-0917,right,20260504,3_v71,20260504_181022,fgw0917_0504_right,fgw-0917__20260504-right-3_v71__20260504_181022.npz
fgw0917,fgw-0917,right,20260504,3_v71,20260504_181240,fgw0917_0504_right,fgw-0917__20260504-right-3_v71__20260504_181240.npz
fgw0917,fgw-0917,right,20260504,4_v71,20260504_181922,fgw0917_0504_right,fgw-0917__20260504-right-4_v71__20260504_181922.npz
fgw0917,fgw-0917,right,20260504,4_v71,20260504_182139,fgw0917_0504_right,fgw-0917__20260504-right-4_v71__20260504_182139.npz
fgw0917,fgw-0917,right,20260504,4_v71,20260504_182357,fgw0917_0504_right,fgw-0917__20260504-right-4_v71__20260504_182357.npz
fgw0917,fgw-0917,right,20260504,4_v71,20260504_182613,fgw0917_0504_right,fgw-0917__20260504-right-4_v71__20260504_182613.npz
fgw0917,fgw-0917,right,20260504,4_v71,20260504_182829,fgw0917_0504_right,fgw-0917__20260504-right-4_v71__20260504_182829.npz
fgw0917,fgw-0917,right,20260504,4_v71,20260504_183047,fgw0917_0504_right,fgw-0917__20260504-right-4_v71__20260504_183047.npz
fgw0917,fgw-0917,right,20260504,4_v71,20260504_183305,fgw0917_0504_right,fgw-0917__20260504-right-4_v71__20260504_183305.npz
fgw0917,fgw-0917,right,20260504,4_v71,20260504_183522,fgw0917_0504_right,fgw-0917__20260504-right-4_v71__20260504_183522.npz
fgw0917,fgw-0917,right,20260504,4_v71,20260504_183739,fgw0917_0504_right,fgw-0917__20260504-right-4_v71__20260504_183739.npz
fgw0917,fgw-0917,right,20260504,4_v71,20260504_183957,fgw0917_0504_right,fgw-0917__20260504-right-4_v71__20260504_183957.npz
fgw0917,fgw-0917,right,20260504,5_v33,20260504_132549,fgw0917_0504_right,fgw-0917__20260504-right-5_v33__20260504_132549.npz
fgw0917,fgw-0917,right,20260504,5_v33,20260504_132806,fgw0917_0504_right,fgw-0917__20260504-right-5_v33__20260504_132806.npz
fgw0917,fgw-0917,right,20260504,5_v33,20260504_133024,fgw0917_0504_right,fgw-0917__20260504-right-5_v33__20260504_133024.npz
fgw0917,fgw-0917,right,20260504,5_v33,20260504_133243,fgw0917_0504_right,fgw-0917__20260504-right-5_v33__20260504_133243.npz
fgw0917,fgw-0917,right,20260504,5_v33,20260504_133504,fgw0917_0504_right,fgw-0917__20260504-right-5_v33__20260504_133504.npz
fgw0917,fgw-0917,right,20260504,5_v33,20260504_133724,fgw0917_0504_right,fgw-0917__20260504-right-5_v33__20260504_133724.npz
fgw0917,fgw-0917,right,20260504,5_v33,20260504_133944,fgw0917_0504_right,fgw-0917__20260504-right-5_v33__20260504_133944.npz
